version,id,section_id,question_id,answer,factor,low,high,degree_of_concern
v2.0.101,1,2,1,t,0.85,0.85,0.95,Confident
v2.0.101,2,2,2,t,1.00,0.85,1.00,Comfortable
v2.0.101,3,2,3,t,1.25,0.85,1.50,Low Concer
v2.0.101,4,2,4,t,2.00,0.85,2.50,Medium Concer
v2.0.101,5,2,5,t,3.00,0.85,3.50,High Concer
v2.0.101,6,2,6,t,3.50,0.85,1000.00,Very High Concer
v2.0.101,7,3,1,f,1.00,1.00,1.05,Average
v2.0.101,8,3,2,f,1.05,1.00,1.10,Average
v2.0.101,9,3,3,f,1.15,1.10,1.20,Deficient
v2.0.101,10,3,4,f,1.25,1.20,1.30,Deficient
v2.0.101,11,3,5,f,1.25,1.20,1.30,Deficient
v2.0.101,12,3,1,t,1.00,0.95,1.00,Average
v2.0.101,13,3,2,t,0.90,0.85,0.95,Average
v2.0.101,14,3,3,t,0.85,0.80,0.90,Above Average
v2.0.101,15,3,4,t,0.85,0.80,0.90,Above Average
v2.0.101,16,3,5,t,0.85,0.80,0.90,Above Average
