version,id,revenue,base_rate_eo,gl_premises_operations1,gl_premises_operations2,base_rate_cyber,base_rate_tech_eo,base_rate_ahc,base_rate_home_healthcare,base_rate_spas
v2.0.101,1,,350.0000,150.0000,21.0000,652.0900,280.0000,350.0000,385.0000,403.0000
v2.0.101,2,25000,354.0000,150.0000,21.0000,652.0900,283.0000,354.0000,389.0000,407.0000
v2.0.101,3,50000,388.0000,150.0000,21.0000,652.0900,311.0000,388.0000,427.0000,447.0000
v2.0.101,4,75000,444.0000,200.0000,30.0000,652.0900,355.0000,444.0000,488.0000,511.0000
v2.0.101,5,100000,513.0000,261.0000,37.0000,652.0900,410.0000,513.0000,564.0000,590.0000
v2.0.101,6,125000,571.0000,280.0000,40.0000,652.0900,456.0000,571.0000,628.0000,656.0000
v2.0.101,7,150000,623.0000,300.0000,42.0000,652.0900,499.0000,623.0000,686.0000,717.0000
v2.0.101,8,175000,681.0000,315.0000,43.0000,652.0900,545.0000,681.0000,749.0000,783.0000
v2.0.101,9,200000,727.0000,328.0000,46.0000,652.0900,581.0000,727.0000,799.0000,836.0000
v2.0.101,10,225000,760.0000,340.0000,48.0000,652.0900,608.0000,760.0000,836.0000,874.0000
v2.0.101,11,250000,805.0000,352.0000,50.0000,652.0900,644.0000,805.0000,886.0000,926.0000
v2.0.101,12,300000,880.0000,373.0000,53.0000,652.0900,704.0000,880.0000,968.0000,1012.0000
v2.0.101,13,350000,949.0000,391.0000,55.0000,652.0900,759.0000,949.0000,1044.0000,1091.0000
v2.0.101,14,400000,1002.0000,408.0000,58.0000,652.0900,801.0000,1002.0000,1102.0000,1152.0000
v2.0.101,15,450000,1065.0000,423.0000,60.0000,652.0900,852.0000,1065.0000,1172.0000,1225.0000
v2.0.101,16,500000,1129.0000,438.0000,62.0000,652.0900,903.0000,1129.0000,1242.0000,1298.0000
v2.0.101,17,550000,1163.0000,451.0000,64.0000,686.3200,930.0000,1163.0000,1279.0000,1337.0000
v2.0.101,18,600000,1194.0000,464.0000,65.0000,720.5500,955.0000,1194.0000,1313.0000,1373.0000
v2.0.101,19,650000,1224.0000,476.0000,67.0000,754.7800,979.0000,1224.0000,1346.0000,1407.0000
v2.0.101,20,700000,1260.0000,488.0000,69.0000,789.0100,1008.0000,1260.0000,1386.0000,1448.0000
v2.0.101,21,750000,1328.0000,499.0000,70.0000,823.2400,1063.0000,1328.0000,1461.0000,1527.0000
v2.0.101,22,800000,1367.0000,509.0000,72.0000,852.8400,1093.0000,1367.0000,1504.0000,1572.0000
v2.0.101,23,850000,1403.0000,520.0000,73.0000,882.4500,1122.0000,1403.0000,1543.0000,1613.0000
v2.0.101,24,900000,1437.0000,530.0000,75.0000,912.0500,1149.0000,1437.0000,1580.0000,1652.0000
v2.0.101,25,950000,1464.0000,539.0000,76.0000,941.6600,1172.0000,1464.0000,1611.0000,1713.0000
v2.0.101,26,1000000,1486.0000,548.0000,77.0000,971.2600,1189.0000,1486.0000,1716.0000,1768.0000
v2.0.101,27,1250000,1761.0000,591.0000,83.0000,1098.7100,1409.0000,1761.0000,2097.0000,2131.0000
v2.0.101,28,1500000,1944.0000,629.0000,89.0000,1226.1700,1555.0000,1944.0000,2384.0000,2391.0000
v2.0.101,29,1750000,2113.0000,663.0000,93.0000,1336.4100,1690.0000,2113.0000,2668.0000,2641.0000
v2.0.101,30,2000000,2340.0000,695.0000,98.0000,1446.6500,1872.0000,2340.0000,3038.0000,2924.0000
v2.0.101,31,2250000,2599.0000,724.0000,102.0000,1545.6300,2079.0000,2599.0000,3469.0000,3249.0000
v2.0.101,32,2500000,2858.0000,752.0000,106.0000,1644.6100,2287.0000,2858.0000,3920.0000,3573.0000
v2.0.101,33,2750000,3050.0000,778.0000,110.0000,1725.1100,2440.0000,3050.0000,4294.0000,3812.0000
v2.0.101,34,3000000,3198.0000,802.0000,113.0000,1805.6000,2558.0000,3198.0000,4621.0000,4030.0000
v2.0.101,35,3250000,3346.0000,826.0000,116.0000,1886.1000,2677.0000,3346.0000,4891.0000,4250.0000
v2.0.101,36,3500000,3495.0000,848.0000,120.0000,1966.6000,2796.0000,3495.0000,5158.0000,4473.0000
v2.0.101,37,3750000,3643.0000,870.0000,123.0000,2047.0900,2914.0000,3643.0000,5421.0000,4699.0000
v2.0.101,38,4000000,3791.0000,890.0000,125.0000,2127.5900,3033.0000,3791.0000,5673.0000,4929.0000
v2.0.101,39,4250000,3938.0000,911.0000,128.0000,2208.0800,3150.0000,3938.0000,5865.0000,5119.0000
v2.0.101,40,4500000,4082.0000,930.0000,131.0000,2288.5800,3266.0000,4082.0000,6051.0000,5348.0000
v2.0.101,41,4750000,4227.0000,949.0000,134.0000,2369.0700,3381.0000,4227.0000,6228.0000,5579.0000
v2.0.101,42,5000000,4371.0000,967.0000,136.0000,2449.5700,3716.0000,4459.0000,6430.0000,5796.0000
